,Flughafen,Ort
0,Munich International Airport,München
1,Paderborn/Lippstadt,Paderborn
2,Ljubljana,Ljubljana
3,Vienna International,Wien
4,Athens,Athen
5,Rhodes,Rhodos
6,Thessaloniki,Thessaloniki
7,Irakleion,Irakleion
8,Athens (GR),Athen
9,Mykonos,Mykonos
10,Dublin,Dublin
11,Dublin (IE),Dublin
12,Moscow Sheremetyevo International Apt,Moskau
13,Riga,Riga
14,Catania,Catania
15,Faro,Faro
16,Brindisi,Brindisi
17,Gran Canaria,Gran Canaria
18,Olbia,Olbia
19,Reykjavik Keflavik International Apt,Rejkjavik
20,Palma de Mallorca,Palma De Mallorca
21,Berlin Tegel Apt,Berlin
22,Fuerteventura,Fuerteventura
23,Funchal,Funchal
24,Westerland,Westerland
25,Duesseldorf International Airport,Düsseldorf
26,Lamezia Terme,Lamezia Terme
27,Santa Cruz de la Palma,Santa Cruz de la Palma
28,Tenerife Sur Apt,Teneriffa
29,Alicante Airport,Alicante
30,Lanzarote,Lanzarote
31,Hurghada,Hurghada
32,Toronto Lester B Pearson Intl,Toronto
33,Vancouver International Apt,Vancouver
34,Beijing Capital Intl Apt,Peking
35,Madrid Adolfo Suarez-Barajas Apt,Madrid
36,Paris Charles de Gaulle Apt,Paris
37,Malta,Malta
38,Amsterdam,Amsterdam
39,Prague Ruzyne,Prag
40,"Belgrade, Nikola Tesla",Belgrad
41,Belgrade,Belgrad
42,Rome Fiumicino Apt,Rom
43,Sendai,Sendai
44,Tokyo Narita Intl,Tokio
45,New York J F Kennedy International Apt,New York
46,Philadelphia International Apt,Philadelphia
47,Antalya,Antalya
48,Istanbul Ataturk Airport,Istanbul
49,Bogota,Bogota
50,Riyadh King Khalid Intl,Riad
51,Baku Heydar Aliyev International Apt,Baku
52,Pristina,Pristina
53,Marsa Alam,Marsa Alam
54,Skopje,Skopje
55,Varna,Varna
56,London City Apt,London
57,London Heathrow Apt,London
58,Frankfurt International Apt,Frankfurt
59,Berlin Brandenburg Apt,Berlin
60,Sofia,Sofia
61,Hong Kong International Apt,Hong Kong
62,Larnaca,Larnaca
63,Ohrid,Ohrid
64,Podgorica,Podgorica
65,Pristina International,Pristina
66,Split,Split
67,Zadar,Zadar
68,Beirut,Beirut
69,Ibiza,Ibiza
70,Sharm El-Sheikh,Sharm El-Sheikh
71,Burgas,Burgas
72,Calvi,Calvi
73,Kos,Kos
74,Djerba,Djerba
75,Kerkyra,Kerkyra
76,Jerez,Jerez
77,Geneva,Genf
78,Izmir Adnan Menderes Apt,Izmir
79,Katowice,Katowice
80,Cologne/Bonn Apt,Köln
81,Dubrovnik,Dubrovnik
82,Zagreb,Zagreb
83,Pula,Pula
84,Atlanta Hartsfield-jackson Intl Apt,Atlanta
85,Lisbon,Lissabon
86,London Luton Apt,London
87,Venice Marco Polo Apt,Venedig
88,Berlin Schoenefeld Apt,Berlin
89,London Gatwick Apt,London
90,Naples Capodichino Apt,Neapel
91,Porto,Porto
92,Hamburg Airport,Hamburg
93,Nice,Nizza
94,Barcelona Apt,Barcelona
95,Palermo,Palermo
96,Cagliari,Cagliari
97,Cancun,Cancun
98,Edinburgh,Edinburgh
99,Figari,Figari
100,Kalamata,Kalamata
101,Kilimanjaro,Kilimanjaro
102,Mahe Island,Mahe
103,Male,Male
104,Mauritius,Mauritius
105,Menorca,Menorca
106,Ovda,Ovda
107,Paphos,Paphos
