Datum,London,Berlin,Pristina,Palma De Mallorca,Istanbul
2018-01-01,75147.0,34225.0,11004.0,4456.0,13422.0
2018-02-01,73495.0,38736.0,11497.0,8013.0,14370.0
2018-03-01,79451.0,48750.0,14366.0,13756.0,18041.0
2018-04-01,87745.0,58849.0,16193.0,21284.0,20509.0
2018-05-01,74121.0,55262.0,13279.0,25658.0,17112.0
2018-06-01,81840.0,56167.0,12550.0,24918.0,16194.0
2018-07-01,91425.0,58663.0,19572.0,29156.0,22329.0
2018-08-01,84283.0,55588.0,13070.0,24999.0,20415.0
2018-09-01,83176.0,59755.0,11615.0,26845.0,17670.0
2018-10-01,82527.0,61914.0,13664.0,21063.0,19000.0
2018-11-01,71415.0,52950.0,12775.0,4926.0,12774.0
2018-12-01,75311.0,52672.0,17619.0,6468.0,14968.0
2019-01-01,74899.0,42970.0,12021.0,3810.0,11453.0
2019-02-01,72494.0,44261.0,14446.0,7904.0,13477.0
2019-03-01,81644.0,53232.0,16016.0,12138.0,15577.0
2019-04-01,87573.0,52277.0,16705.0,24942.0,16209.0
2019-05-01,76183.0,50483.0,14054.0,24379.0,15973.0
2019-06-01,82245.0,48820.0,14550.0,28303.0,16824.0
2019-07-01,90824.0,51259.0,23962.0,33135.0,21915.0
2019-08-01,84886.0,44617.0,15212.0,32576.0,19736.0
2019-09-01,85467.0,47797.0,12675.0,33130.0,19174.0
2019-10-01,84149.0,50151.0,14340.0,23617.0,20590.0
2019-11-01,72585.0,45412.0,11371.0,5612.0,13725.0
2019-12-01,82263.0,49654.0,15627.0,6707.0,15449.0
2020-01-01,77693.0,40506.0,12285.0,4795.0,11299.0
2020-02-01,73935.0,40735.0,13686.0,8112.0,13749.0
2020-03-01,31511.0,18126.0,5267.0,3931.0,6411.0
2020-04-01,924.0,493.0,104.0,0.0,0.0
2020-05-01,2024.0,1154.0,748.0,0.0,0.0
2020-06-01,2925.0,5991.0,3302.0,1115.0,2119.0
2020-07-01,10006.0,18715.0,7394.0,14818.0,9337.0
2020-08-01,20081.0,19422.0,2514.0,5462.0,6911.0
2020-09-01,8429.0,18006.0,4536.0,934.0,6635.0
2020-10-01,4657.0,11585.0,16761.0,876.0,7207.0
2020-11-01,4281.0,3456.0,8403.0,2232.0,4424.0
2020-12-01,7219.0,5949.0,13226.0,3166.0,5920.0
2021-01-01,4714.0,4520.0,7717.0,1365.0,6003.0
2021-02-01,3617.0,2186.0,8094.0,527.0,8087.0
2021-03-01,3686.0,2885.0,5797.0,4209.0,11319.0
2021-04-01,4732.0,3284.0,2745.0,9021.0,9646.0
2021-05-01,4653.0,4300.0,10667.0,15884.0,7961.0
2021-06-01,4373.0,8078.0,9745.0,15447.0,12465.0
2021-07-01,6749.0,18217.0,24405.0,34578.0,27153.0
2021-08-01,18976.0,21261.0,12843.0,30290.0,20226.0
2021-09-01,28973.0,23136.0,5499.0,26583.0,17472.0
