Datum,London,Palma De Mallorca,Pristina (Kosovo)
2018-01-01,75147.0,4456.0,11004.0
2018-02-01,73495.0,8013.0,11497.0
2018-03-01,79451.0,13756.0,14366.0
2018-04-01,87745.0,21284.0,16193.0
2018-05-01,74121.0,25658.0,13279.0
2018-06-01,81840.0,24918.0,12550.0
2018-07-01,91425.0,29156.0,19572.0
2018-08-01,84283.0,24999.0,13070.0
2018-09-01,83176.0,26845.0,11615.0
2018-10-01,82527.0,21063.0,13664.0
2018-11-01,71415.0,4926.0,12775.0
2018-12-01,75311.0,6468.0,17619.0
2019-01-01,74899.0,3810.0,12021.0
2019-02-01,72494.0,7904.0,14446.0
2019-03-01,81644.0,12138.0,16016.0
2019-04-01,87573.0,24942.0,16705.0
2019-05-01,76183.0,24379.0,14054.0
2019-06-01,82245.0,28303.0,14550.0
2019-07-01,90824.0,33135.0,23962.0
2019-08-01,84886.0,32576.0,15212.0
2019-09-01,85467.0,33130.0,12675.0
2019-10-01,84149.0,23617.0,14340.0
2019-11-01,72585.0,5612.0,11371.0
2019-12-01,82263.0,6707.0,15627.0
2020-01-01,77693.0,4795.0,12285.0
2020-02-01,73935.0,8112.0,13686.0
2020-03-01,31511.0,3931.0,5267.0
2020-04-01,924.0,0.0,104.0
2020-05-01,2024.0,0.0,748.0
2020-06-01,2925.0,1115.0,3302.0
2020-07-01,10006.0,14818.0,7394.0
2020-08-01,20081.0,5462.0,2514.0
2020-09-01,8429.0,934.0,4536.0
2020-10-01,4657.0,876.0,16761.0
2020-11-01,4281.0,2232.0,8403.0
2020-12-01,7219.0,3166.0,13226.0
2021-01-01,4714.0,1365.0,7717.0
2021-02-01,3617.0,527.0,8094.0
2021-03-01,3686.0,4209.0,5797.0
2021-04-01,4732.0,9021.0,2745.0
2021-05-01,4653.0,15884.0,10667.0
2021-06-01,4373.0,15447.0,9745.0
2021-07-01,6749.0,34578.0,24405.0
2021-08-01,18976.0,30290.0,12843.0
2021-09-01,28973.0,26583.0,5499.0
