Ort/Flughafen,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,April19,April20,April21
Aarhus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
Abu Dhabi,5743,6135,5749,6422,7052,7066,8990,8060,6372,7283,4287,7002,4202,5068,4423,7973,7268,7818,8501,7810,6579,8088,5527,7396,5831,5930,2012,0,5,37,147,208,181,146,130,395,225,437,208,496,892,398,1700,2981,1800,7973,0,496
Addis Ababa,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adler/Sochi,0,0,93,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0
Al Massira,434,432,437,486,331,353,533,644,466,434,439,349,416,389,386,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411,0,0
Alger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alicante,328,571,2025,2846,3266,2973,3367,2796,3205,2773,997,1128,228,631,1751,3644,2798,3681,3895,3661,4011,3066,380,1166,322,666,678,0,0,0,1608,957,0,0,0,0,0,0,158,707,1787,1598,4809,4147,3686,3644,0,707
Amman,874,885,1173,1560,852,1225,1988,1917,935,1353,757,879,795,898,1074,1511,490,1297,1325,1449,762,1457,803,950,754,670,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1511,0,0
Amsterdam,35382,34915,42829,45097,43859,43258,42955,44179,42374,44608,38521,38343,34658,34434,39907,44619,44142,43508,43875,43649,41200,43006,38099,41036,35820,34942,16356,1007,2170,4552,10252,14527,12463,5642,6245,8946,4241,1966,2949,4235,4616,6523,16809,20344,20681,44619,1007,4235
Anchorage,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ankara,0,0,0,0,0,210,714,677,199,0,0,0,0,0,0,0,0,393,892,464,267,0,0,0,0,0,0,326,0,0,755,279,59,0,0,0,0,0,0,0,0,0,864,385,131,0,326,0
Antalya,759,1752,2842,9801,10549,10502,20785,18557,20126,25482,4252,2530,1686,2582,4165,14264,12172,15408,26936,20189,22731,25784,3974,2751,1866,3107,1240,0,0,636,8551,9979,11548,15846,1775,1389,408,701,1528,2360,1235,4530,21652,16392,14572,14264,0,2360
Antwerpen,176,472,717,662,895,827,897,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aqaba,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astrakhan,0,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Athen,12982,13547,20973,22329,22965,22882,25765,21655,21922,19885,14653,19669,12856,13651,20263,21711,21600,22270,28137,24152,22268,20586,16223,20603,13852,14287,6905,446,1198,4845,12745,10394,9152,10043,2137,3302,1768,1646,1858,2578,6840,10241,19096,14406,15194,21711,446,2578
Atlanta,0,0,0,0,1992,5682,6758,6296,4227,0,0,0,0,0,0,0,2134,5477,6704,6421,1990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacau,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,111,0,0,0,0,0,0,0,0,0
Baku,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,0,0,0,0,0,0
Barcelona,15837,20836,29079,30252,30832,29674,37075,30844,32430,30343,21223,22408,17070,20177,26001,30883,28803,30027,36212,32941,33114,28481,21168,22848,18541,20754,7999,69,198,1223,7245,2379,985,925,964,2526,1673,582,1393,3946,5571,8058,17582,15783,15356,30883,69,3946
Bari,0,0,412,2068,2138,2098,2131,1999,2380,1489,0,0,0,0,0,1920,2320,2096,2552,2104,2193,1539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,1226,852,928,1920,0,0
Basel,0,0,0,0,250,0,0,0,166,0,0,123,0,183,0,0,0,0,0,0,0,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basel Mühlhausen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,136,2850,0,0,0,0
Beijing,4119,5343,7249,7761,8390,9315,10242,10032,8250,9033,3809,3382,2925,3174,3508,7866,9185,9025,10046,9870,8146,8079,3722,3225,3058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7866,0,0
Beirut,573,738,934,1223,843,1004,2620,1708,1273,981,687,1184,796,744,532,829,599,900,1806,1350,992,788,256,707,301,0,0,0,0,0,0,0,0,0,0,294,29,0,0,0,0,0,1811,926,359,829,0,0
Beograd,10930,11316,14515,19544,18947,17114,22411,16410,16286,17091,12594,15440,10587,11928,13523,20376,19093,18273,26813,18878,19289,19531,13601,15921,11723,12427,3825,0,1025,7292,3813,3286,11380,13403,6322,4262,2347,3531,1699,3005,6324,11060,19321,13853,11105,20376,0,3005
Bergen,0,0,0,0,0,377,814,792,0,0,0,0,0,0,0,0,0,401,913,711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berlin,34225,38736,48750,58849,55262,56167,58663,55588,59755,61914,52950,52672,42970,44261,53232,52277,50483,48820,51259,44617,47797,50151,45412,49654,40506,40735,18126,493,1154,5991,18715,19422,18006,11585,3456,5949,4520,2186,2885,3284,4300,8078,18217,21261,23136,52277,493,3284
Bilbao,837,916,1439,2120,2131,2054,2204,1859,2415,1660,837,1101,498,511,1026,1645,1866,2161,1929,1997,1540,1453,1059,1248,626,937,354,0,0,0,389,262,0,0,0,259,30,0,0,187,173,569,2011,1870,1830,1645,0,187
Billund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,556,0,0,0,0
Birmingham,4339,4285,3606,4571,3880,3704,4370,4601,4762,3938,4065,4301,4106,4117,3499,4071,3592,3736,4450,4520,4480,3750,3714,4137,4477,4455,1053,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,57,0,557,4071,0,0
Bogota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bombay,4845,4520,4450,3790,5385,6664,6805,5303,4894,6233,5838,6799,5810,4868,3809,4764,6118,6737,6881,5375,4996,6501,6447,6754,5685,3818,755,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4764,0,0
Bordeaux,0,0,547,2964,3255,3195,4035,4248,3278,3160,3174,3237,2655,3008,3759,3679,3581,3531,4147,4305,3722,3429,3098,2775,2079,2119,1094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,312,2986,3032,1706,3679,0,0
